previous_units,current_units,people,acs,fans,fridges,tvs,month,bill
90,177.4,4,3,7,1,1,3,2638.05
398,367.3,5,3,7,2,2,6,5219.79
344,304.2,7,1,7,1,4,7,4193.17
247,299.2,6,1,1,1,0,3,3333.64
244,333.2,2,3,5,1,3,9,4065.39
436,458.8,1,0,5,2,4,12,4906.57
88,30.0,5,0,1,2,4,1,766.95
363,287.8,4,1,7,2,1,2,3416.73
140,60.1,7,2,3,1,1,12,1530.8
92,30.0,5,0,7,1,4,8,995.8
286,313.7,4,1,1,2,2,12,3420.2
489,587.8,3,3,5,1,2,9,6397.27
381,400.1,1,0,1,1,2,9,4001.79
392,253.8,7,0,7,1,2,2,3318.78
372,378.6,6,1,5,2,3,7,5020.38
403,411.6,2,0,1,2,2,5,4808.89
280,446.7,5,0,2,1,1,11,4403.61
107,30.0,3,0,3,2,2,1,804.82
427,419.7,4,0,1,1,3,1,4436.74
252,391.4,6,3,1,2,4,7,5160.83
275,326.5,6,0,7,2,2,12,3500.83
216,275.4,2,2,7,1,3,12,3134.43
132,160.0,3,2,4,1,2,8,2282.45
467,510.1,6,2,7,2,3,6,6557.36
401,475.4,7,2,5,1,1,4,6018.82
339,302.3,1,1,1,2,2,12,3474.44
231,312.5,6,3,6,2,0,3,3765.14
420,343.9,4,0,1,1,1,2,3773.98
295,338.0,5,0,6,2,3,7,4599.28
249,281.5,1,3,3,1,0,5,4041.97
252,228.9,5,0,1,2,1,6,3044.0
152,170.4,5,0,2,1,3,11,2020.97
91,67.4,5,0,5,2,4,4,1121.92
299,244.0,6,0,6,1,2,11,3058.69
449,444.2,7,0,4,2,2,3,4887.02
78,30.0,6,2,2,1,2,4,1234.93
436,478.6,6,2,7,2,3,1,5204.88
422,361.5,7,0,6,1,2,9,3928.02
174,243.8,5,3,3,2,0,11,3191.6
334,271.3,5,0,4,1,2,11,3130.71
124,104.4,4,2,7,1,1,3,1885.54
391,367.3,6,3,3,1,3,10,4455.25
365,477.8,1,2,1,2,0,2,5131.65
209,252.1,4,1,2,1,3,8,2981.54
80,85.2,3,0,5,2,0,9,1383.92
486,540.9,7,0,7,2,4,2,5459.9
250,122.5,1,3,6,1,3,2,2040.35
451,468.0,5,1,5,2,0,1,5014.92
355,514.8,2,0,3,2,4,9,5284.12
400,429.3,7,2,4,1,2,8,5071.63
391,415.8,6,2,1,2,3,2,4697.67
137,195.4,2,0,3,2,0,7,2458.25
213,295.7,7,0,5,1,0,10,2990.68
260,140.2,4,0,7,2,4,3,2182.08
274,176.2,7,0,7,1,2,8,2318.92
69,103.7,6,2,6,1,3,4,2427.65
295,265.0,1,0,1,2,4,4,3336.73
119,230.8,2,2,6,1,2,5,3457.34
384,381.9,3,0,2,1,1,5,4702.1
357,241.6,2,3,5,1,4,6,3696.19
465,396.2,1,2,7,2,0,3,4585.02
385,212.5,7,1,7,2,2,5,3543.35
214,217.6,7,1,5,2,4,8,2816.18
485,491.8,4,0,3,1,1,5,5934.36
234,224.3,2,0,4,1,1,8,2640.87
196,291.5,2,2,5,1,2,2,3433.24
457,560.9,7,0,4,1,0,2,5675.77
216,224.1,3,2,3,2,0,11,2695.6
84,30.0,1,1,3,1,1,6,991.06
261,324.2,3,0,5,2,4,8,3554.85
408,466.9,4,2,1,1,1,9,4800.85
135,176.7,5,2,7,1,3,2,2489.9
258,346.7,3,2,1,2,2,12,3886.95
108,46.5,7,0,7,2,3,6,1206.68
358,518.6,5,2,1,1,1,11,5375.26
264,216.8,7,3,4,1,4,6,3547.0
198,270.4,3,1,3,1,1,5,3714.1
152,53.9,5,3,5,2,3,8,1664.68
304,258.9,3,2,4,2,4,3,3438.95
351,477.1,5,1,7,2,2,8,5065.66
473,474.7,6,3,1,2,3,12,5214.57
246,324.8,3,3,7,2,0,8,3979.2
122,158.6,7,0,5,1,2,1,1948.83
424,436.7,7,3,6,1,1,9,5047.08
333,448.5,7,0,1,2,4,1,4552.69
365,368.4,2,0,1,1,4,2,3899.89
93,30.0,6,0,3,1,3,4,1164.66
190,153.8,1,1,3,2,4,4,2539.51
395,453.6,1,3,6,2,4,1,5330.73
424,471.7,7,2,7,1,3,1,5492.98
245,155.3,2,2,3,2,2,10,2073.0
412,381.3,7,0,6,2,1,6,4737.4
428,407.3,4,2,1,1,4,3,4398.31
224,218.4,3,1,6,1,0,6,3134.63
454,377.7,1,1,1,2,0,9,4078.66
179,155.0,5,1,5,1,4,9,2134.21
157,126.0,6,0,3,2,0,4,1994.07
357,431.0,4,3,3,1,0,3,4868.57
336,412.6,6,2,2,1,2,12,4399.6
112,121.8,3,1,3,1,2,8,1573.04
424,416.6,4,0,7,1,0,12,4424.72
139,168.8,3,3,6,2,1,4,3011.85
412,374.8,5,1,3,1,1,2,4188.04
53,30.0,1,1,3,1,1,5,862.49
408,362.2,4,2,4,1,0,4,4565.9
404,379.6,4,0,5,2,3,9,4280.54
401,339.6,4,2,2,2,2,9,3963.25
349,380.3,4,3,6,2,4,1,4421.93
262,333.1,5,1,7,2,0,8,3549.82
367,275.9,4,0,6,2,3,5,3607.13
174,195.8,2,0,4,2,4,8,2220.68
401,405.6,2,0,3,2,2,5,4891.22
300,343.9,5,2,3,1,3,7,4430.83
256,275.1,7,1,6,2,2,9,3366.26
277,195.2,6,0,4,2,2,4,2867.78
305,236.6,5,2,1,2,4,3,3405.03
66,88.1,7,0,5,2,2,9,1222.76
112,204.0,7,1,1,1,2,12,2487.7
160,30.0,4,3,7,1,4,6,1665.38
101,145.2,1,0,3,2,2,12,1634.18
247,350.3,5,0,3,1,0,3,3645.07
350,359.3,5,1,1,2,3,10,4132.51
344,402.5,2,2,2,2,3,12,4479.0
261,231.8,6,0,7,1,1,4,3365.25
434,445.6,7,3,4,1,3,2,4917.76
304,210.5,3,0,7,2,0,8,2510.13
85,30.0,4,3,7,1,1,11,1463.01
394,480.0,2,2,1,1,4,1,5230.19
308,259.1,2,0,3,1,3,8,3002.67
335,323.1,2,0,6,2,3,11,3733.51
304,226.9,3,0,4,1,3,1,2479.8
299,220.3,2,1,4,1,0,7,3212.29
90,97.8,2,1,4,1,4,1,1654.94
301,269.9,4,2,5,2,1,3,3308.58
407,453.5,5,1,7,1,3,6,5980.13
186,237.7,3,2,7,1,4,4,3472.59
321,363.5,4,1,5,1,1,2,3730.44
63,99.7,2,1,5,2,3,10,1597.91
206,336.4,5,1,3,1,0,3,3524.66
246,191.3,5,1,1,1,3,11,2632.4
492,508.2,7,3,5,1,2,3,5824.02
146,245.3,1,0,1,2,0,7,2879.8
174,282.5,6,1,5,1,3,9,3419.74
233,153.5,3,3,4,1,4,6,2941.86
496,494.1,1,2,6,2,0,6,6090.07
434,549.1,5,0,7,2,4,10,5646.92
65,120.6,2,3,4,2,4,1,2070.67
155,188.7,2,0,5,1,2,10,2145.37
419,423.8,7,0,4,2,4,9,4584.52
76,69.1,2,1,3,1,1,10,1210.51
435,475.2,4,2,1,2,3,6,5860.66
176,178.3,2,0,1,1,3,5,2132.74
462,479.0,1,3,6,1,2,7,6179.31
182,207.5,1,0,7,2,4,8,2223.25
245,217.5,1,3,1,2,4,12,2830.62
347,404.2,4,0,3,1,3,11,4012.65
106,330.0,4,1,5,1,2,1,3281.36
300,195.6,1,2,5,2,4,2,2807.17
277,319.7,3,1,6,2,2,12,3608.11
402,368.8,2,2,5,1,3,5,4868.51
498,558.4,4,2,1,2,0,7,6640.47
348,371.3,7,2,2,2,1,1,4226.22
234,307.3,5,1,4,1,4,2,3538.08
232,334.3,7,3,1,1,2,5,4548.37
238,271.5,2,2,3,1,2,9,3316.37
416,515.2,2,1,3,1,4,10,5442.01
194,49.9,6,2,7,1,1,11,1459.71
125,256.3,3,3,3,1,1,3,2882.65
200,246.3,6,3,7,1,0,3,3138.49
60,155.4,4,2,5,1,1,7,2420.16
97,31.6,2,3,5,1,2,7,1346.15
90,51.8,6,3,6,1,3,1,1415.58
397,427.2,4,1,6,1,1,6,5324.32
375,393.8,6,2,2,1,2,11,4761.86
363,402.8,4,0,3,2,1,2,4183.1
257,352.9,1,1,4,2,4,10,3838.98
372,268.4,5,3,7,1,2,6,4015.4
122,210.2,1,1,1,2,0,7,2897.45
455,475.6,5,3,4,2,3,8,5549.72
275,280.7,3,1,2,1,1,9,3286.72
472,389.0,6,0,2,1,4,8,4466.56
118,173.2,7,0,6,2,1,2,2133.67
273,124.0,3,2,2,2,4,4,2426.44
363,428.4,7,1,6,1,3,11,4907.56
273,188.6,1,2,7,1,0,1,2654.66
250,273.7,1,0,6,1,3,9,2742.38
124,135.7,7,1,2,1,3,7,2303.06
221,322.9,5,0,1,1,2,2,3313.91
157,164.5,4,1,4,1,0,2,2240.03
185,156.4,2,3,4,1,2,12,2414.55
357,341.5,3,0,6,1,3,1,3534.14
333,442.1,5,2,3,1,0,1,4802.09
323,380.5,6,0,2,2,1,1,4071.31
212,205.0,7,2,7,2,3,8,2933.06
481,484.4,3,3,7,1,2,12,5549.74
89,30.0,4,1,5,2,4,3,1259.32
204,251.2,2,0,5,2,1,10,2837.25
103,30.0,1,2,7,2,3,9,1176.35
202,274.6,4,1,4,1,2,3,3263.09
482,511.0,5,3,2,1,1,1,5925.76
214,401.1,1,3,5,1,4,6,5207.43
458,401.0,3,2,4,1,3,1,4626.47
272,284.8,5,2,6,2,2,2,3584.78
364,509.9,6,2,6,2,1,6,6350.91
255,358.4,7,2,4,1,4,10,4129.08
169,140.3,3,1,3,1,0,12,2167.79
393,428.7,3,3,3,2,0,8,4776.87
486,506.1,7,1,5,1,0,4,6369.92
168,207.7,5,0,5,2,3,4,2858.8
400,371.1,2,2,4,1,0,8,4030.31
167,180.7,5,2,4,1,3,3,2473.93
372,280.1,2,3,7,1,0,7,4089.93
405,434.5,4,1,2,1,3,10,4736.87
252,303.5,3,1,2,2,3,11,3441.07
381,385.1,7,2,6,1,4,1,4404.22
172,78.9,1,1,7,1,1,4,1828.8
85,174.2,6,3,5,1,0,4,2971.8
93,138.5,2,1,3,1,3,7,2296.48
251,220.2,1,3,3,1,2,3,2956.1
456,456.4,5,1,4,2,4,12,5022.05
107,30.0,5,0,1,2,0,12,938.83
255,203.2,1,3,4,2,2,4,3212.13
366,348.4,1,2,2,1,0,5,4530.16
141,247.0,1,2,2,1,2,6,3268.51
374,349.2,3,2,4,1,0,1,3847.2
187,251.8,1,1,7,1,3,11,2923.58
413,395.3,5,3,2,2,3,10,4653.29
310,347.4,1,1,7,2,0,4,4375.76
296,306.1,6,3,4,1,2,7,4443.83
129,210.1,7,1,7,1,2,5,3175.75
258,240.6,6,0,3,1,3,3,2724.37
435,344.9,7,0,7,1,2,4,4515.19
58,30.0,7,3,5,2,2,2,1269.79
391,373.8,1,2,5,1,4,10,4181.48
271,203.6,3,1,4,2,2,8,2574.09
373,421.7,6,3,4,1,4,12,4879.09
348,335.4,3,2,4,2,4,1,4065.15
244,430.2,6,2,6,2,4,8,4791.08
188,86.4,6,2,6,1,4,7,1967.04
332,366.3,7,0,1,2,3,8,4140.98
113,54.0,3,0,5,1,2,12,1173.08
312,297.5,3,2,6,2,2,5,4071.63
92,121.9,1,0,6,1,1,2,1684.87
342,199.2,2,2,4,2,4,1,2885.27
332,368.6,2,0,3,2,3,6,4477.42
87,240.2,4,1,5,2,4,3,2844.04
390,378.3,3,2,5,1,3,2,4345.63
237,275.2,6,2,3,2,2,2,3457.34
404,495.7,6,3,3,1,1,4,6322.07
68,76.5,6,2,3,2,4,2,1555.6
130,109.3,1,0,1,2,3,6,1466.41
272,132.7,4,3,1,1,4,8,2379.79
134,198.9,6,0,1,1,2,4,2585.82
198,210.1,2,0,3,1,2,2,2479.59
347,296.1,3,3,4,2,0,7,4358.25
115,143.9,6,0,3,2,0,2,1810.95
354,333.1,6,2,7,2,3,9,4208.33
96,79.0,6,1,2,1,1,5,1630.08
128,190.4,4,3,3,2,0,5,3032.88
314,240.3,3,0,2,1,3,3,2784.8
407,500.3,3,0,3,1,3,4,6020.98
126,48.2,5,1,5,1,0,2,1095.54
184,157.6,3,1,3,1,2,7,2381.12
466,620.6,3,3,3,2,2,2,6415.69
495,593.9,2,2,5,1,0,9,6251.31
311,337.8,4,0,6,1,3,4,4164.93
251,205.2,2,3,2,1,1,7,3159.61
206,189.0,4,1,1,1,4,7,2719.35
325,350.1,7,3,2,2,0,8,4233.59
315,337.6,6,3,5,1,4,10,4008.45
182,195.6,4,0,7,1,0,7,2401.85
60,77.8,7,2,2,1,3,11,1599.23
118,123.0,7,1,1,2,3,4,1901.64
481,400.1,4,1,4,2,2,10,4636.2
238,221.8,6,1,7,2,1,5,3473.4
267,351.0,3,2,4,1,0,8,3889.09
260,184.2,7,1,7,1,1,6,3094.85
402,408.7,3,0,5,1,3,11,4330.08
79,41.6,2,1,1,1,3,4,1330.48
87,114.8,1,0,3,1,0,7,1567.58
174,166.8,6,3,6,2,0,2,2292.74
268,391.4,3,2,4,2,2,8,4312.63
352,407.5,6,1,2,2,2,1,4664.53
270,198.2,1,1,2,2,4,5,3003.62
248,315.0,4,0,5,2,3,1,3387.65
472,437.8,3,1,4,1,2,4,5515.94
122,101.6,4,3,5,1,2,6,2307.98
307,349.0,2,0,3,1,3,4,4214.75
294,279.6,1,0,3,1,2,5,3818.45
263,345.5,3,3,5,2,3,2,4050.61
413,378.8,4,2,1,1,0,9,4411.93
170,146.7,6,0,4,2,4,10,2120.16
479,453.1,4,1,3,2,4,6,5650.89
199,179.4,2,2,6,1,2,1,2409.99
295,391.9,2,1,6,2,2,1,4346.11
284,348.0,5,1,3,1,2,9,3852.9
432,571.7,4,2,2,1,4,12,6023.88
247,425.7,7,2,2,1,0,11,4371.11
178,125.8,4,3,2,1,1,5,2503.57
59,83.9,4,0,2,1,3,6,1458.2
213,150.7,1,1,6,2,3,2,2132.39
421,386.6,2,0,1,2,1,1,4141.36
54,30.0,6,2,1,2,0,10,1046.69
453,399.0,3,2,4,2,2,6,5226.32
294,240.4,3,1,2,2,3,6,3378.21
113,122.9,5,2,6,2,3,5,2281.53
185,119.8,1,1,6,1,0,4,2279.46
299,377.9,4,0,6,2,0,12,4097.41
192,147.8,3,2,4,2,1,10,2098.79
98,314.7,2,1,4,1,2,9,3523.25
349,337.4,3,1,3,1,0,5,4249.64
352,377.0,4,1,2,2,0,9,4127.67
103,32.3,2,3,4,2,2,5,1596.57
176,315.4,4,0,7,1,1,7,3576.65
159,257.4,6,1,2,1,3,2,2941.75
346,386.8,2,2,1,1,0,9,4158.03
378,303.7,7,0,4,1,4,1,3570.74
377,411.7,5,0,3,2,0,9,4383.13
472,413.5,6,2,6,1,2,8,4798.83
395,517.4,1,2,6,1,4,1,5463.55
194,270.6,6,2,7,2,3,7,4016.06
98,124.7,3,0,3,2,4,3,1708.16
326,175.5,5,3,7,2,0,6,3247.88
462,413.2,6,1,1,2,3,1,4659.06
488,556.1,2,0,3,1,0,9,5756.28
153,257.9,2,1,2,2,3,7,3369.98
156,253.6,1,0,7,2,1,5,3106.59
66,30.0,5,1,5,2,3,11,830.12
113,154.1,6,1,3,1,0,8,1857.22
299,390.1,3,1,2,1,4,8,4113.46
296,199.9,2,1,6,2,2,2,2637.51
216,235.4,3,3,5,1,2,7,3487.82
189,228.2,3,3,6,2,2,9,3100.92
423,421.9,7,1,4,2,0,12,4614.34
257,147.3,1,3,2,2,1,8,2239.92
413,410.2,3,3,3,2,3,3,4866.77
483,480.1,5,3,5,2,4,9,5712.65
192,201.6,2,0,2,2,4,1,2242.95
141,121.6,7,1,1,2,2,4,2182.01
478,467.0,7,1,6,1,1,12,4892.31
335,352.2,3,0,4,1,2,10,3579.26
180,231.0,6,0,3,1,2,11,2565.32
329,327.7,6,2,4,1,1,5,4603.78
281,272.3,5,1,6,1,1,9,3144.82
457,483.5,2,3,1,1,4,9,5266.88
165,50.5,1,2,4,2,1,3,1339.72
496,549.4,3,0,2,1,0,12,5504.67
471,491.0,1,3,1,2,3,12,5350.86
131,153.8,3,1,1,2,3,2,2280.53
124,211.3,5,2,4,2,1,10,2672.22
289,172.3,5,3,4,1,3,6,3134.37
70,30.0,2,2,4,1,4,9,1038.79
184,223.2,1,0,6,2,4,7,3017.22
245,264.5,2,0,4,1,3,3,3070.11
486,517.9,4,1,5,2,2,2,5720.72
496,483.7,6,0,6,1,0,7,5769.09
118,184.5,3,0,5,2,2,11,2312.63
451,536.3,3,3,7,1,4,10,5971.7
90,143.9,4,0,2,2,4,4,2221.22
386,387.7,1,0,6,1,3,11,4095.66
430,302.5,2,2,5,1,4,5,4310.97
450,523.8,1,0,5,2,2,7,6220.56
150,255.5,4,1,1,1,0,4,3363.63
452,517.1,4,3,4,1,2,7,6735.73
102,60.4,5,2,7,2,1,7,1732.59
283,350.2,5,3,5,1,4,9,4185.13
261,341.2,3,1,1,1,3,6,3948.71
192,321.1,7,2,3,2,2,7,4107.14
59,30.0,7,0,4,1,1,8,817.49
397,401.1,1,1,6,2,0,6,4882.81
201,273.3,7,0,4,1,0,7,3561.88
347,371.0,2,3,6,1,1,2,4174.55
234,175.8,2,0,6,1,1,11,2115.1
